MovieID,GenreID,,,,,,,
0001,01,,,,,,,
0001,02,,,,,,,
0002,03,,,,,,,
0002,04,,,,,,,
0002,05,,,,,,,
0003,02,,,,,,,
0003,04,,,,,,,
0003,06,,,,,,,
0004,07,,,,,,,
0004,06,,,,,,,
0004,08,,,,,,,
0005,03,,,,,,,
0005,04,,,,,,,
0006,03,,,,,,,
0006,05,,,,,,,
0007,04,,,,,,,
0007,07,,,,,,,
0007,08,,,,,,,
0008,02,,,,,,,
0008,04,,,,,,,
0009,09,,,,,,,
0009,10,,,,,,,
0009,04,,,,,,,
0010,02,,,,,,,
0010,04,,,,,,,
0010,07,,,,,,,
0011,02,,,,,,,
0011,04,,,,,,,
0012,02,,,,,,,
0012,04,,,,,,,
0012,07,,,,,,,
0013,04,,,,,,,
0013,07,,,,,,,
0013,08,,,,,,,
0014,07,,,,,,,
0014,11,,,,,,,
0014,04,,,,,,,
0015,12,,,,,,,
0016,01,,,,,,,
0016,07,,,,,,,
0017,01,,,,,,,
0017,13,,,,,,,
0018,01,,,,,,,
0018,09,,,,,,,
0018,04,,,,,,,
0019,02,,,,,,,
0019,04,,,,,,,
0020,04,,,,,,,
0020,06,,,,,,,
0020,07,,,,,,,
0021,04,,,,,,,
0021,10,,,,,,,
0022,04,,,,,,,
0022,06,,,,,,,
0023,02,,,,,,,
0023,03,,,,,,,
0023,04,,,,,,,
0024,01,,,,,,,
0024,04,,,,,,,
0024,07,,,,,,,
0025,04,,,,,,,
0025,07,,,,,,,
0026,01,,,,,,,
0026,07,,,,,,,
0026,04,,,,,,,
0027,12,,,,,,,
0028,02,,,,,,,
0028,10,,,,,,,
0029,02,,,,,,,
0029,04,,,,,,,
0029,07,,,,,,,
0030,10,,,,,,,
0031,07,,,,,,,
0032,02,,,,,,,
0032,04,,,,,,,
0032,07,,,,,,,
0033,02,,,,,,,
0033,03,,,,,,,
0033,13,,,,,,,
0034,04,,,,,,,
0034,05,,,,,,,
0034,07,,,,,,,
0035,02,,,,,,,
0035,10,,,,,,,
0036,01,,,,,,,
0036,02,,,,,,,
0036,13,,,,,,,
0037,03,,,,,,,
0038,07,,,,,,,
0038,05,,,,,,,
0039,04,,,,,,,
0039,07,,,,,,,
0039,08,,,,,,,
0040,02,,,,,,,
0040,10,,,,,,,
