MovieID,ActorID
1,1
1,2
1,3
2,4
2,5
2,6
3,7
3,8
3,9
4,10
4,11
4,12
5,13
5,14
5,15
6,16
6,17
6,18
7,19
7,20
7,21
8,22
8,23
8,24
9,25
9,26
9,27
10,28
10,29
10,30
11,31
11,32
11,33
12,34
12,35
12,36
13,37
13,38
13,39
14,40
14,41
14,42
15,90
16,43
16,44
16,45
17,46
17,47
17,48
18,49
18,50
18,51
19,52
19,53
19,54
20,55
20,56
20,57
21,58
21,59
21,60
22,61
22,62
22,63
23,64
23,65
23,66
24,45
24,67
24,68
25,69
25,70
25,71
26,72
26,73
26,74
27,75
28,76
28,77
28,78
29,79
29,80
29,81
30,82
30,83
30,84
31,85
31,18
31,86
32,87
32,88
32,89
33,90
33,91
33,92
34,74
34,93
34,94
35,95
35,96
35,48
36,97
36,98
36,78
37,99
37,18
37,100
38,101
38,102
38,103
39,104
39,105
39,106
40,107
40,108
40,63
